Epoch,Loss,Time
408,1.8807,2021-02-24 07:03:25.135266
409,1.8725,2021-02-24 07:05:26.823283
410,1.8838,2021-02-24 07:07:28.090633
411,1.8779,2021-02-24 07:09:29.144276
412,1.8648,2021-02-24 07:11:30.259433
413,1.8698,2021-02-24 07:13:30.344592
414,1.8737,2021-02-24 07:15:31.597233
415,1.8821,2021-02-24 07:17:32.844867
416,1.8662,2021-02-24 07:19:33.122640
417,1.8662,2021-02-24 07:21:35.730489
418,1.8658,2021-02-24 07:23:36.192861
419,1.8462,2021-02-24 07:25:41.000024
420,1.8722,2021-02-24 07:27:43.033756
421,1.8635,2021-02-24 07:29:44.879789
422,1.8684,2021-02-24 07:31:45.908476
423,1.8621,2021-02-24 07:33:48.976505
424,1.8577,2021-02-24 07:35:53.621552
425,1.8498,2021-02-24 07:37:53.075687
426,1.8630,2021-02-24 07:39:53.434544
427,1.8529,2021-02-24 07:41:53.831867
428,1.8409,2021-02-24 07:43:54.614323
429,1.8526,2021-02-24 07:45:57.584378
430,1.8520,2021-02-24 07:48:02.304400
431,1.8379,2021-02-24 07:50:04.133405
432,1.8505,2021-02-24 07:52:07.343883
433,1.8558,2021-02-24 07:54:07.490992
434,1.8516,2021-02-24 07:56:13.694968
435,1.8393,2021-02-24 07:58:17.254919
436,1.8388,2021-02-24 08:00:18.367701
437,1.8555,2021-02-24 08:02:19.992682
438,1.8259,2021-02-24 08:04:24.578602
439,1.8466,2021-02-24 08:06:26.881138
440,1.8370,2021-02-24 08:08:27.743063
441,1.8207,2021-02-24 08:10:32.425223
442,1.8383,2021-02-24 08:12:32.164651
443,1.8268,2021-02-24 08:14:33.568264
444,1.8279,2021-02-24 08:16:38.337223
445,1.8365,2021-02-24 08:18:38.640863
446,1.8219,2021-02-24 08:20:40.141962
447,1.8236,2021-02-24 08:22:43.346193
448,1.8175,2021-02-24 08:24:44.470968
449,1.8236,2021-02-24 08:26:44.187138
450,1.8254,2021-02-24 08:28:46.739356
451,1.8161,2021-02-24 08:30:49.735404
452,1.8247,2021-02-24 08:32:54.414432
453,1.8167,2021-02-24 08:34:55.560765
454,1.8063,2021-02-24 08:36:59.359519
455,1.8088,2021-02-24 08:39:02.890210
456,1.8166,2021-02-24 08:41:03.539010
457,1.8182,2021-02-24 08:43:07.854231
458,1.8118,2021-02-24 08:45:08.801189
459,1.8111,2021-02-24 08:47:10.701427
460,1.8191,2021-02-24 08:49:12.498521
461,1.8040,2021-02-24 08:51:13.424844
462,1.8067,2021-02-24 08:53:14.496700
463,1.8056,2021-02-24 08:55:14.557821
464,1.7953,2021-02-24 08:57:18.679910
465,1.8085,2021-02-24 08:59:19.155710
466,1.8001,2021-02-24 09:01:20.216296
467,1.8009,2021-02-24 09:03:20.964457
468,1.8046,2021-02-24 09:05:21.456635
469,1.7968,2021-02-24 09:07:24.591768
470,1.7882,2021-02-24 09:09:27.924207
471,1.7823,2021-02-24 09:11:29.545403
472,1.7898,2021-02-24 09:13:30.830556
473,1.7974,2021-02-24 09:15:32.101636
474,1.7937,2021-02-24 09:17:32.813383
475,1.7883,2021-02-24 09:19:33.789175
476,1.7994,2021-02-24 09:21:33.689899
477,1.7987,2021-02-24 09:23:37.132272
478,1.7768,2021-02-24 09:25:37.741387
479,1.7776,2021-02-24 09:27:39.245041
480,1.7829,2021-02-24 09:29:40.392858
481,1.7696,2021-02-24 09:31:41.826765
482,1.7873,2021-02-24 09:33:42.679942
483,1.7755,2021-02-24 09:35:44.052849
484,1.7733,2021-02-24 09:37:46.883649
485,1.7778,2021-02-24 09:39:47.659505
486,1.7656,2021-02-24 09:41:49.931360
487,1.7686,2021-02-24 09:43:49.894900
488,1.7750,2021-02-24 09:45:50.870209
489,1.7762,2021-02-24 09:47:54.969392
490,1.7787,2021-02-24 09:49:59.581944
491,1.7770,2021-02-24 09:52:02.555378
492,1.7560,2021-02-24 09:54:06.474057
493,1.7592,2021-02-24 09:56:10.614086
494,1.7512,2021-02-24 09:58:14.641922
495,1.7594,2021-02-24 10:00:16.889072
496,1.7597,2021-02-24 10:02:18.074073
497,1.7519,2021-02-24 10:04:21.173515
498,1.7520,2021-02-24 10:06:22.910383
499,1.7459,2021-02-24 10:08:24.204647
500,1.7609,2021-02-24 10:10:28.376178
501,1.7582,2021-02-24 10:12:36.081790
502,1.7474,2021-02-24 10:14:39.962737
503,1.7546,2021-02-24 10:16:41.757549
504,1.7528,2021-02-24 10:18:44.710191
505,1.7385,2021-02-24 10:20:46.121377
506,1.7550,2021-02-24 10:22:48.622573
507,1.7400,2021-02-24 10:24:53.212030
508,1.7318,2021-02-24 10:26:53.893946
509,1.7414,2021-02-24 10:28:55.805516
510,1.7424,2021-02-24 10:30:57.685681
511,1.7265,2021-02-24 10:32:59.042773
512,1.7413,2021-02-24 10:35:02.283940
513,1.7378,2021-02-24 10:37:05.385637
514,1.7176,2021-02-24 10:39:09.336168
515,1.7412,2021-02-24 10:41:17.453035
516,1.7285,2021-02-24 10:43:22.316272
517,1.7187,2021-02-24 10:45:24.503382
518,1.7266,2021-02-24 10:47:28.462487
519,1.7253,2021-02-24 10:49:29.947787
520,1.7156,2021-02-24 10:51:30.003255
521,1.7224,2021-02-24 10:53:32.113492
522,1.7318,2021-02-24 10:55:34.939466
523,1.7203,2021-02-24 10:57:36.281611
524,1.7322,2021-02-24 10:59:36.519489
525,1.7187,2021-02-24 11:01:39.082617
526,1.7164,2021-02-24 11:03:40.734889
527,1.7062,2021-02-24 11:05:42.023088
528,1.7118,2021-02-24 11:07:42.100085
529,1.7039,2021-02-24 11:09:44.164715
530,1.7123,2021-02-24 11:11:46.545599
531,1.7175,2021-02-24 11:13:48.761849
532,1.7029,2021-02-24 11:15:49.480636
533,1.7153,2021-02-24 11:17:50.625377
534,1.7095,2021-02-24 11:19:55.791302
535,1.6964,2021-02-24 11:21:56.281989
536,1.7022,2021-02-24 11:23:56.858483
537,1.7182,2021-02-24 11:25:58.732426
538,1.7115,2021-02-24 11:28:04.463404
539,1.7151,2021-02-24 11:30:05.420767
540,1.7133,2021-02-24 11:32:11.557855
541,1.7089,2021-02-24 11:34:13.118880
542,1.6820,2021-02-24 11:36:13.507206
543,1.6866,2021-02-24 11:38:17.787954
544,1.7063,2021-02-24 11:40:19.220731
545,1.6941,2021-02-24 11:42:21.463846
546,1.6935,2021-02-24 11:44:22.515809
547,1.6796,2021-02-24 11:46:23.750160
548,1.6849,2021-02-24 11:48:25.508738
549,1.6899,2021-02-24 11:50:30.566501
550,1.6861,2021-02-24 11:52:33.416707
551,1.6793,2021-02-24 11:54:35.049679
552,1.6831,2021-02-24 11:56:37.627064
553,1.6980,2021-02-24 11:58:37.994180
554,1.6819,2021-02-24 12:00:40.840386
555,1.6863,2021-02-24 12:02:45.221520
556,1.6758,2021-02-24 12:04:46.600168
557,1.6853,2021-02-24 12:06:48.285692
558,1.6805,2021-02-24 12:08:48.900874
559,1.6893,2021-02-24 12:10:52.726308
560,1.6778,2021-02-24 12:12:53.322499
561,1.6814,2021-02-24 12:14:57.579349
562,1.6765,2021-02-24 12:17:01.829656
563,1.6649,2021-02-24 12:19:00.911959
564,1.6696,2021-02-24 12:21:07.167618
565,1.6663,2021-02-24 12:23:12.135692
566,1.6631,2021-02-24 12:25:16.077288
567,1.6738,2021-02-24 12:27:16.865064
568,1.6860,2021-02-24 12:29:17.199351
569,1.6679,2021-02-24 12:31:20.401353
570,1.6598,2021-02-24 12:33:19.431587
571,1.6623,2021-02-24 12:35:19.931124
572,1.6638,2021-02-24 12:37:23.188604
573,1.6778,2021-02-24 12:39:23.101024
574,1.6702,2021-02-24 12:41:23.785687
575,1.6507,2021-02-24 12:43:24.281740
576,1.6651,2021-02-24 12:45:25.579502
577,1.6690,2021-02-24 12:47:26.659120
578,1.6588,2021-02-24 12:49:30.494901
579,1.6546,2021-02-24 12:51:32.606559
580,1.6474,2021-02-24 12:53:37.565548
581,1.6644,2021-02-24 12:55:42.316973
582,1.6504,2021-02-24 12:57:47.401993
583,1.6512,2021-02-24 12:59:47.684563
584,1.6429,2021-02-24 13:01:52.190366
585,1.6321,2021-02-24 13:03:52.165329
586,1.6581,2021-02-24 13:05:56.054530
587,1.6433,2021-02-24 13:08:00.369619
588,1.6448,2021-02-24 13:10:03.781733
589,1.6552,2021-02-24 13:12:08.302394
590,1.6499,2021-02-24 13:14:12.050061
